;Estimate;Std. Error;z value;Pr(>|z|)
(Intercept);2.032021667;0.20792216;9.772992311;1.47E-22
;;;;
age_class.L;1.992370717;0.441615013;4.511555671;6.44E-06
age_class.Q;-0.864413178;0.420428513;-2.05602891;0.03977973
age_class.C;-0.237293975;0.400727476;-0.592157985;0.553744801
age_class^4;0.702607345;0.359126572;1.956433747;0.05041408
;;;;
samcam2;0.854931276;0.207356362;4.123004804;3.74E-05
samcam3;0.30740311;0.185198791;1.659854844;0.096943657
;;;;
I(scl.ats1^2);-0.332800073;0.103831917;-3.205180847;0.001349776
scl.prec1;0.224122897;0.085115039;2.63317622;0.008459045
;;;;
age_class.L:samcam2;-0.347377261;0.546274518;-0.635902371;0.524840057
age_class.Q:samcam2;0.107442016;0.476580011;0.225443816;0.821634029
age_class.C:samcam2;0.890973385;0.364415335;2.444939329;0.014487651
age_class^4:samcam2;-1.035202132;0.260147363;-3.979291279;6.91E-05
;;;;
age_class.L:samcam3;0.127346006;0.51254395;0.248458704;0.803779518
age_class.Q:samcam3;-0.180131113;0.442858737;-0.40674621;0.684194397
age_class.C:samcam3;0.565940303;0.361466378;1.565678962;0.117423794
age_class^4:samcam3;-0.648908938;0.261677837;-2.47980091;0.013145576
