"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","A_Cm - B_Sp_young","1","-3.12","0.016","0.22","1",NA,NA,"0.48","0.988"
"2","A_Cm - C_Sp_int1","1","-4.35","0","-2.47","0.097",NA,NA,"-1.35","0.669"
"3","A_Cm - D_Sp_int2","1","-4.75","0","-3.3","0.009",NA,NA,"-3.59","0.024"
"4","A_Cm - E_Sp_old","1","-5.52","0","-2.95","0.026",NA,NA,"-3.04","0.062"
"5","B_Sp_young - C_Sp_int1","1","-1.41","0.623","-2.92","0.029",NA,NA,"-1.61","0.518"
"6","B_Sp_young - D_Sp_int2","1","-1.87","0.335","-3.85","0.001",NA,NA,"-3.6","0.026"
"7","B_Sp_young - E_Sp_old","1","-2.76","0.046","-3.36","0.007",NA,NA,"-3.09","0.06"
"8","C_Sp_int1 - D_Sp_int2","1","-0.46","0.991","-0.96","0.873",NA,NA,"-1.98","0.332"
"9","C_Sp_int1 - E_Sp_old","1","-1.36","0.653","-0.57","0.98",NA,NA,"-1.46","0.603"
"10","D_Sp_int2 - E_Sp_old","1","-0.91","0.894","0.36","0.996",NA,NA,"0.48","0.988"
"11","A_Cm - B_Sp_young","2","-3.12","0.016","-0.37","0.996",NA,NA,"0.48","0.988"
"12","A_Cm - C_Sp_int1","2","-4.35","0","-0.99","0.861",NA,NA,"-1.35","0.669"
"13","A_Cm - D_Sp_int2","2","-4.75","0","-1.78","0.386",NA,NA,"-3.59","0.024"
"14","A_Cm - E_Sp_old","2","-5.52","0","-2.68","0.057",NA,NA,"-3.04","0.062"
"15","B_Sp_young - C_Sp_int1","2","-1.41","0.623","-0.6","0.975",NA,NA,"-1.61","0.518"
"16","B_Sp_young - D_Sp_int2","2","-1.87","0.335","-1.38","0.638",NA,NA,"-3.6","0.026"
"17","B_Sp_young - E_Sp_old","2","-2.76","0.046","-2.27","0.154",NA,NA,"-3.09","0.06"
"18","C_Sp_int1 - D_Sp_int2","2","-0.46","0.991","-0.8","0.932",NA,NA,"-1.98","0.332"
"19","C_Sp_int1 - E_Sp_old","2","-1.36","0.653","-1.71","0.431",NA,NA,"-1.46","0.603"
"20","D_Sp_int2 - E_Sp_old","2","-0.91","0.894","-0.92","0.888",NA,NA,"0.48","0.988"
"21","A_Cm - B_Sp_young","3","-3.12","0.016","0.38","0.996",NA,NA,"0.48","0.988"
"22","A_Cm - C_Sp_int1","3","-4.35","0","-2.64","0.063",NA,NA,"-1.35","0.669"
"23","A_Cm - D_Sp_int2","3","-4.75","0","-3.33","0.008",NA,NA,"-3.59","0.024"
"24","A_Cm - E_Sp_old","3","-5.52","0","-3.78","0.001",NA,NA,"-3.04","0.062"
"25","B_Sp_young - C_Sp_int1","3","-1.41","0.623","-3.21","0.011",NA,NA,"-1.61","0.518"
"26","B_Sp_young - D_Sp_int2","3","-1.87","0.335","-3.93","0.001",NA,NA,"-3.6","0.026"
"27","B_Sp_young - E_Sp_old","3","-2.76","0.046","-4.33","0",NA,NA,"-3.09","0.06"
"28","C_Sp_int1 - D_Sp_int2","3","-0.46","0.991","-0.75","0.945",NA,NA,"-1.98","0.332"
"29","C_Sp_int1 - E_Sp_old","3","-1.36","0.653","-1.24","0.731",NA,NA,"-1.46","0.603"
"30","D_Sp_int2 - E_Sp_old","3","-0.91","0.894","-0.54","0.983",NA,NA,"0.48","0.988"
