;endad.avgmod1.d4.coef.shrinkage
(Intercept);1.030377508
;
age_class.L;2.245017461
age_class.Q;-1.147444635
age_class.C;-0.68654651
age_class^4;0.117835137
;
samcam2;1.017669521
samcam3;0.579346482
;
;
;
scl.mc;0.238863886
I(scl.mc^2);0.01869199
scl.cn;-0.031925368
scl.pH;0.163459985
scl.clay;0.137373316
;
;
;
scl.prec1;0.341178824
;
age_class.L:samcam2;-1.196200731
age_class.Q:samcam2;1.329645336
age_class.C:samcam2;0.404409697
age_class^4:samcam2;-0.429485807
;
age_class.L:samcam3;-0.238050881
age_class.Q:samcam3;0.747859126
age_class.C:samcam3;-0.021962742
age_class^4:samcam3;0.548217534
;
scl.mc:scl.pH;0.271137924
scl.cn:scl.pH;0.034300745
