;"""df""";"""logLik""";"""AICc""";"""delta""";"""weight""";;;;;;;
1/2/5/7/8/9/11;20;-393.3833702;832.0497593;1.21E-10;0.137278853;;;;;;;
1/2/3/5/7/8/9/11;21;-392.4197888;832.6876789;0.637919558;0.099788655;;;;;;;
1/2/5/6/7/8/9/11;21;-392.7555255;833.3591523;1.309393046;0.071330054;;;;;;;
1/2/3/5/6/7/8/9/11;22;-391.8714891;834.1888381;2.139078836;0.047109509;;;;;;;
1/2/4/5/7/8/9/11;21;-393.3643815;834.5768643;2.52710505;0.038801611;;;;;;;
1/2/4/5/7/8/9/10/11;22;-392.259281;834.9644219;2.914662565;0.031966325;;;;;;;
1/2/3/4/5/7/8/9/11;22;-392.3774922;835.2008443;3.151085013;0.028402347;;;;;;;
1/2/3/4/5/7/8/9/10/11;23;-391.1750631;835.4270492;3.377289898;0.025364976;;;;;;;
1/2/4/5/6/7/8/9/11;22;-392.7303504;835.9065607;3.856801387;0.019957671;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;age_class;samcam;scl.clay;scl.cn;scl.mc;I(scl.mc^2);scl.pH;scl.prec1;age_class:samcam;scl.cn:scl.pH;scl.mc:scl.pH;offset(log(area))
;1;2;3;4;5;6;7;8;9;10;11;12
;;;;;;;;;;;;
age_class;1;;;;;;;;;;;
samcam;2;;;;;;;;;;;
scl.clay;3;;;;;;;;;;;
scl.cn;4;;;;;;;;;;;
scl.mc;5;;;;;;;;;;;
I(scl.mc^2);6;;;;;;;;;;;
scl.pH;7;;;;;;;;;;;
scl.prec1;8;;;;;;;;;;;
age_class:samcam;9;;;;;;;;;;;
scl.cn:scl.pH;10;;;;;;;;;;;
scl.mc:scl.pH;11;;;;;;;;;;;
offset(log(area));12;;;;;;;;;;;
