"","contrast","age_class","anc","anc","ancad","ancad","endo","endo","endad","endad","N","N","anc.juv","anc.juv","endo.juv","endo.juv","juv","juv","anc.bm","anc.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endad.bm","endad.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","SR","SR","H","H","endad.old","endad.old"
"1","1 - 2","A_Cm","-0.73","0.646","0.13","0.895","-1.73","0.098","-2.3","0.015","-1.52","0.029","-1.66","0.335","-1.16","0.523","-1.66","0.149",NA,NA,NA,NA,"-0.82","0","-0.74","0","-0.79","0",NA,NA,NA,NA,NA,NA,"-1.39","0",NA,NA,"-2.3","0.015"
"2","1 - 3","A_Cm","0.13","0.985","-0.48","0.001","-1.05","0.421","-1.22","0.305","-0.95","0.24","17.47","1","-1.01","0.596","-0.83","0.612",NA,NA,NA,NA,"-0.54","0","-0.43","0","-0.46","0.006",NA,NA,NA,NA,NA,NA,"-0.48","0.016",NA,NA,"-1.22","0.305"
"3","2 - 3","A_Cm","0.85","0.444","-0.61","0.124","0.68","0.05","1.09","0.015","0.57","0.038","19.13","1","0.14","0.942","0.82","0.073",NA,NA,NA,NA,"0.29","0.113","0.3","0.056","0.33","0.128",NA,NA,NA,NA,NA,NA,"0.9","0.001",NA,NA,"1.09","0.015"
"4","1 - 2","B_Sp_young","-1.99","0","0.13","0.895","-1.63","0","-1.48","0","-1.69","0","-21.65","1","-1.86","0.003","-2.61","0",NA,NA,NA,NA,"-0.82","0","-0.74","0","-0.79","0",NA,NA,NA,NA,NA,NA,"-1.39","0",NA,NA,"-1.48","0"
"5","1 - 3","B_Sp_young","-0.98","0.02","-0.48","0.001","-0.81","0.024","-0.16","0.924","-1.05","0","-18.35","1","-1.41","0.027","-1.96","0.001",NA,NA,NA,NA,"-0.54","0","-0.43","0","-0.46","0.006",NA,NA,NA,NA,NA,NA,"-0.48","0.016",NA,NA,"-0.16","0.924"
"6","2 - 3","B_Sp_young","1.01","0.001","-0.61","0.124","0.82","0.001","1.32","0.001","0.63","0.001","3.3","0","0.45","0.376","0.65","0.028",NA,NA,NA,NA,"0.29","0.113","0.3","0.056","0.33","0.128",NA,NA,NA,NA,NA,NA,"0.9","0.001",NA,NA,"1.32","0.001"
"7","1 - 2","C_Sp_int1","-0.06","0.945","0.13","0.895","0.92","0.001","0.06","0.977","0.79","0","-0.01","0.999","2.23","0","1.52","0",NA,NA,NA,NA,"-0.82","0","-0.74","0","-0.79","0",NA,NA,NA,NA,NA,NA,"-1.39","0",NA,NA,"0.06","0.977"
"8","1 - 3","C_Sp_int1","0.06","0.935","-0.48","0.001","-0.63","0.001","-0.58","0.046","-0.52","0","0.83","0.04","-0.78","0.008","-0.68","0",NA,NA,NA,NA,"-0.54","0","-0.43","0","-0.46","0.006",NA,NA,NA,NA,NA,NA,"-0.48","0.016",NA,NA,"-0.58","0.046"
"9","2 - 3","C_Sp_int1","0.12","0.783","-0.61","0.124","-1.54","0","-0.64","0.017","-1.3","0","0.85","0.028","-3.01","0","-2.2","0",NA,NA,NA,NA,"0.29","0.113","0.3","0.056","0.33","0.128",NA,NA,NA,NA,NA,NA,"0.9","0.001",NA,NA,"-0.64","0.017"
"10","1 - 2","D_Sp_int2","-0.65","0.009","0.13","0.895","-0.58","0.001","-0.22","0.519","-0.67","0","-1.51","0","-1.38","0","-1.39","0",NA,NA,NA,NA,"-0.82","0","-0.74","0","-0.79","0",NA,NA,NA,NA,NA,NA,"-1.39","0",NA,NA,"-0.22","0.519"
"11","1 - 3","D_Sp_int2","-0.35","0.258","-0.48","0.001","-0.53","0","-0.07","0.88","-0.62","0","0.17","0.898","-1.54","0","-1.11","0",NA,NA,NA,NA,"-0.54","0","-0.43","0","-0.46","0.006",NA,NA,NA,NA,NA,NA,"-0.48","0.016",NA,NA,"-0.07","0.88"
"12","2 - 3","D_Sp_int2","0.3","0.29","-0.61","0.124","0.05","0.966","0.15","0.786","0.05","0.911","1.68","0","-0.16","0.85","0.28","0.373",NA,NA,NA,NA,"0.29","0.113","0.3","0.056","0.33","0.128",NA,NA,NA,NA,NA,NA,"0.9","0.001",NA,NA,"0.15","0.786"
"13","1 - 2","E_Sp_old","-0.85","0.001","0.13","0.895","-0.62","0.038","-1.06","0.001","-0.53","0.004","0.41","0.603","-0.08","0.98","-0.26","0.427",NA,NA,NA,NA,"-0.82","0","-0.74","0","-0.79","0",NA,NA,NA,NA,NA,NA,"-1.39","0",NA,NA,"-1.06","0.001"
"14","1 - 3","E_Sp_old","-0.39","0.139","-0.48","0.001","-0.91","0.001","-0.9","0.007","-0.57","0.002","1.12","0.028","-0.94","0.057","-0.3","0.036",NA,NA,NA,NA,"-0.54","0","-0.43","0","-0.46","0.006",NA,NA,NA,NA,NA,NA,"-0.48","0.016",NA,NA,"-0.9","0.007"
"15","2 - 3","E_Sp_old","0.46","0.069","-0.61","0.124","-0.29","0.246","0.16","0.747","-0.04","0.959","0.71","0.143","-0.87","0.013","-0.04","0.979",NA,NA,NA,NA,"0.29","0.113","0.3","0.056","0.33","0.128",NA,NA,NA,NA,NA,NA,"0.9","0.001",NA,NA,"0.16","0.747"
